Lần chạy,"Phân
công","Ngày
thực hiện",Kernel,Tập đánh giá,Tham Số,,Error(0.0->1.0),,Accuracy(%),,Running time(s),Note,
,,,,,C,Gamma,IN,OUT,IN,OUT,,,
1,T,8/17/2020,Linear,Validation,0.001,NA,0.076100,0.069100,92.39%,93.09%,94337.46148,Khá tốt,Execution Time: 950.3590034849985 Accuracy on Training set : 0.9239 Accuracy on Test set : 0.9309
2,T,8/17/2020,,,0.01,,0.055940,0.056300,94.41%,94.37%,346.8072404,Khá tốt,Execution Time: 451.91711576 Accuracy on Training set : 0.94406 Accuracy on Test set : 0.9437
3,T,8/17/2020,,,0.1,,0.041880,0.051900,95.81%,94.81%,310.8075358,Khá tốt,Execution Time: 353.92148199300004 Accuracy on Training set : 0.95812 Accuracy on Test set : 0.9481
4,T,8/17/2020,,,1,,0.027540,0.057700,97.25%,94.23%,375.8399729,Khá tốt,Execution Time: 409.0317629650017 Accuracy on Training set : 0.97246 Accuracy on Test set : 0.9423
5,ĐA,8/17/2020,,,10,,0.016920,0.071600,98.31%,92.84%,564.6438502,Khá tốt,Execution Time:  1386.998067843  Accuracy on Training set   : 0.987 Accuracy on Test set :0.987
6,ĐA,8/17/2020,,,100,,0.013000,0.077700,98.70%,92.23%,1386.998068,Khá tốt,
7,ĐA,8/17/2020,,,1000,,0.011340,0.076900,98.87%,92.31%,11332.4606,Khá tốt,Execution Time: 11332.460602676 Accuracy on Training set : 0.98866 Accuracy on Test set : 0.9231
8,ĐA,8/17/2020,,,10000,,1.000000,1.000000,,,ĐA running,Chạy quá 12 tiếng,
1,T,8/17/2020,Gaussian/RBF,Validation,0.001,0.001,0.886440,0.893600,11.36%,10.64%,5492.828425,Underfit (C quá nhỏ),Execution Time: 5492.8284247480005 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
2,T,8/17/2020,,,,0.01,0.474860,0.459600,52.51%,54.04%,6232.812681,Underfit (C quá nhỏ),Execution Time: 6232.812680517 Accuracy on Training set : 0.52514 Accuracy on Test set : 0.5404
3,T,8/17/2020,,,,0.1,0.886440,0.893600,11.36%,10.64%,5465.87587,Underfit (C quá nhỏ),Execution Time: 5465.875869577 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
4,T,8/17/2020,,,,1,0.886440,0.893600,11.36%,10.64%,6343.950391,Underfit (C quá nhỏ),Execution Time: 6343.950390852 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
5,ĐA,8/17/2020,,,,10,0.886440,0.893600,11.36%,10.64%,5603.611116,Underfit (C quá nhỏ),Execution Time: 5603.611115647001 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
6,ĐA,8/17/2020,,,,100,0.886440,0.893600,11.36%,10.64%,6518.602192,Underfit (C quá nhỏ),Execution Time: 6518.602192443001 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
7,ĐA,8/17/2020,,,,1000,0.886440,0.893600,11.36%,10.64%,6528.393814,Underfit (C quá nhỏ),Execution Time: 6528.393814337001 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
8,ĐA,8/17/2020,,,,10000,0.886440,0.893600,11.36%,10.64%,6572.211985,Underfit (C quá nhỏ),Execution Time: 6572.211984562 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
